#TYPE Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProvider
"ProviderNamespace","RegistrationState","ResourceTypes","Locations","ZoneMappings"
"Microsoft.Cache","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Cdn","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.CertificateRegistration","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ClassicCompute","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ClassicNetwork","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ClassicStorage","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ClassicSubscription","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ClassicInfrastructureMigrate","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.CognitiveServices","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Commerce","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Consumption","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ContainerInstance","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ContainerRegistry","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ContainerService","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ContentModerator","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.CustomerInsights","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Databricks","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DataCatalog","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DataFactory","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DataLakeAnalytics","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DataLakeStore","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DataMigration","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DBforMySQL","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DBforPostgreSQL","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Devices","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DevTestLab","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DocumentDB","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DomainRegistration","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.DynamicsLcs","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.EventGrid","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.EventHub","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Features","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.HDInsight","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ImportExport","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"microsoft.insights","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.LocationBasedServices","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Logic","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.MachineLearning","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.MachineLearningExperimentation","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.MachineLearningCompute","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.MachineLearningModelManagement","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ManagedIdentity","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ManagedLab","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Management","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.MarketplaceApps","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.MarketplaceOrdering","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Media","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Migrate","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.NotificationHubs","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.PolicyInsights","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Portal","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.PowerBI","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.PowerBIDedicated","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.RecoveryServices","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Relay","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Resources","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Scheduler","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Search","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ServiceBus","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ServiceFabric","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Solutions","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.StorageSync","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.StorSimple","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.StreamAnalytics","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Subscription","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"microsoft.support","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.TimeSeriesInsights","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"microsoft.visualstudio","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.WorkloadMonitor","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Myget.PackageManagement","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"NewRelic.APM","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"nuubit.nextgencdn","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Paraleap.CloudMonix","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Pokitdok.Platform","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"RavenHq.Db","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Raygun.CrashReporting","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"RedisLabs.Memcached","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"RedisLabs.Redis","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"RevAPM.MobileCDN","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Sendgrid.Email","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Signiant.Flight","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Sparkpost.Basic","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"stackify.retrace","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"SuccessBricks.ClearDB","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"TrendMicro.DeepSecurity","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"U2uconsult.TheIdentityHub","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
